IdExecucaoFinanceira;IdEmpreendimento;NumDocumento;IdAndamentoFinanceiro;IdTipoExecucaoFinanceira;DatAssinatura;DatInicioVigencia;DatFinalVigencia;IdInstituicaoContratante;IdTipoDocumento;IdInstituicaoContratado;IdPessoaFisicaContratado;ValContrato;ValContrapartida;ValTotal;DescObjeto;IdLicitacao;FlgInexibilidadeLicitacao;FlgDispensaLicitacao;IdFundamentoLegal;IdFaseGrupo;FlgAtivo;FlgExclusaoDependencia;
131;1;"00";2;6;21/12/2010;21/12/2010;21/12/2037;406;1;233;;677353021.85;;677353021.85;"EXPLORAÇÃO, MEDIANTE CONCESSÃO ADMINISTRATIVA, DA OPERAÇÃO E MANUTENÇÃO, PRECEDIDAS DE OBRAS DE REFORMA, RENOVAÇÃO E ADEQUAÇÃO DO COMPLEXO DO MINEIRÃO,";390;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
276;1;"042/2011";3;3;27/06/2011;28/06/2011;27/12/2011;8;1;11016;;204000.00;;204000.00;"Serviços técnicos especializados de consultoria e desenvolvimento para a elaboração de Plano Museológico do Memorial do Esporte do Estádio Governador Magalhães Pinto ? Mineirão";;TRUE;FALSE;35;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
1;2;"523/2010";2;4;19/03/2010;23/03/2010;05/10/2013;133;1;132;;696648486.09;;696648486.09;"Execução de obras e serviços visando à adequação às exigências FIFA para reforma e ampliação da capacidade de público do Estádio Nacional de Brasília, consistindo nos trabalhos de desenvolvimento de projeto executivo dos sistemas especiais de tecnologia,  execução das obras civis de recuperação estrutural da atual estrutura de arquibancadas, obras civis para adaptação e ampliação das novas arquibancadas, rebaixamento do nível do gramado, construção dos demais ambientes contidos no projeto executivo de engenharia, assim como, a execução das instalações e dos sistemas elétricos, hidráulicos, ar-condicionado e de segurança. Este contrato contempla os serviços de rede eletrônica e de iluminação.";76;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
179;2;"522/2012";2;4;07/03/2012;07/03/2012;27/10/2013;133;1;10766;;173912916.19;;173912916.19;"Fornecimento e instalação de Cobertura do Estádio Nacional de Brasília de conformidade com as especificações contidas no Edital de Licitação, Concorrência nº 027/2011-ASCAL/PRES e seus anexos.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
182;2;"669/2012";2;4;05/11/2012;05/11/2012;31/08/2013;133;1;10769;;5909382.78;;5909382.78;"Implantação do campo de futebol em grama natural, incluindo drenagem, irrigação automatizada e manutenção no Estádio Nacional de Brasília.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
183;2;"618/2012";2;4;13/08/2012;13/08/2012;31/10/2014;133;1;269;;3297000.00;;3297000.00;"Fornecimento e instalação de 2 (dois) conjuntos de painéis eletrônicos para a exibição de multimídia, inclusive a elaboração do projeto executivo e o treinamento para a utilização dos equipamentos para o Estádio Nacional de Brasília.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
331;2;"500/2013";2;4;07/01/2013;07/01/2013;08/05/2013;133;1;11695;;169000.08;;169000.08;"Fornecimento e instalação de assentos para áreas VVIP e Campo ( reservs/oficiais) do Estádio Nacional de Brasília.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
932;2;"636/2012";2;4;21/09/2012;21/09/2012;17/06/2013;133;1;10768;;10872452.00;;10872452.00;"Fornecimento e Instalação de assentos para área VVIP, VIP, Camarotes, Businese seats, GA e Campo ( reservas/oficiais) do Estádio Nacional de Brasília.";307;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
1029;2;"543/2013";2;4;25/04/2013;25/04/2013;25/08/2013;133;1;10768;;3880000.00;;3880000.00;"Fornecimento e Instalação de Guarda-Corpos e corrimão do Estádio Nacional de Brasília - Mané Guarrincha.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
1038;2;"542/2013";2;4;25/04/2013;25/04/2013;25/08/2013;133;1;10768;;2840000.00;;2840000.00;"Fornecimento e Instalação de Guarda Corpos, e corrimão no Estádio Nacional de Brasília.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
2;3;"009/2010";2;4;20/04/2010;20/04/2010;03/06/2013;481;1;357;;342060007.96;;342060007.96;"Prestação de serviços de engenharia para execução completa e perfeita dos serviços de construção da Arena Multiuso , o “Novo Verdão”, em Cuiabá – MT";73;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
247;3;"12/2010/AGECOPA";2;3;26/05/2010;26/05/2010;25/01/2013;481;1;427;;7515260.32;0.00;7515260.32;"Contratação de serviços de Engenharia especializados de fiscalização, supervisão e gerenciamento das Obras de Construção Novo VERDÃO, e Entorno, em Cuiabá - MT, objetivando a Copa do Mundo do Pantanal  FIFA 2014.";74;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
269;3;"050/2009";3;3;31/07/2009;31/07/2009;30/04/2010;24014;1;11158;;14200000.00;;14200000.00;"Contrato de Confecção do Projeto Básico e Executivo (Arena)";;FALSE;TRUE;6;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
2250;3;"026/2013";2;4;19/06/2013;19/06/2013;12/09/2014;481;1;23464;;98193406.00;;98193406.00;"Contratação de empresa para fornecimento de materiais, equipamentos e prestação de serviços técnicos especializados de instalação, ativação, configuração, realização de testes, garantia, treinamento, manutenção, operação e suporte para a implementação de Sistemas de Telecomunicações; Sistema de TV (infraestrutura), IPTV e Signage; Sistemas de Segurança (CFTV, Controle de Acesso e Detecção e Alarme de Incêndio); Sistema de Sonorização e telão (Giant Screens); Sistema de Automação Predial (BAS) e Sistema de Broadcasting (infraestrutura) na Arena de Cuiabá.";661;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
3118;3;"047/2013";2;4;24/10/2013;01/11/2013;08/02/2015;481;1;24009;;18259045.36;;18259045.36;"Contratação de empresa especializada para fornecimento e instalação de mobiliário esportivo para a Arena Pantanal.";784;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
12;4;"001/2010";2;6;26/11/2010;26/11/2010;29/11/2018;229;1;228;;518606000.00;;518606000.00;"Reforma, ampliação, adequação, operação e manutenção do Estádio Plácido Aderaldo Castelo (Castelão), bem como para a construção, operação e manutenção de edifício de estacionamentos de veículos e a construção e manutenção do edifício-sede da Secretaria do Esporte do Estado do Ceará.";78;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
13;5;"44/2010";2;4;01/07/2010;01/07/2010;01/07/2013;230;1;132;;499508704.17;;499508704.17;"Execução de obras civis, estrutura de cobertura metálica, estruturas elétricas, estruturas hidráulicas, instalação dos sistemas de ar condicionado, de segurança, broadcasting e todos os demais ambientes contidos nos Projetos da Arena Amazônia – Amazonas, em Manaus/AM.";79;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
121;5;"7/2011";2;3;13/04/2011;18/04/2011;18/08/2014;109;1;355;;17703033.02;;17703033.02;"Serviços de engenharia de apoio ao gerenciamento das obras e dos serviços de engenharia de construção dos ambientes contidos nos projetos da Arena Amazônia, a ser implantada na Cidade de Manaus/AM.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
154;5;"044/2012";2;3;22/06/2012;22/06/2012;09/10/2014;109;1;482;;409188.63;;409188.63;"Consultoria técnica durante o desenvolvimento dos projetos e das obras nos conceitos de
construção sustentável, eficiência energética e certificação de desempenho ambiental exigido pelo
U.S. Green Building Council (LEED - Leadership in Energy and Enviromental Design) da Arena da
Amazônia.";254;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
5;6;"01/2011";2;6;31/10/2011;31/10/2011;31/10/2031;112;1;136;;400000000.00;;400000000.00;"Demolição e remoção do Machadão e Machadinho, construção, manutenção e gertão da operação do Estádio das Dunas – Novo Machadão e de seu estacionamento";1;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
14;7;"01/2010";2;6;15/06/2010;15/06/2010;15/06/2043;119;1;139;;379263314.00;0.00;379263314.00;"Concessão Administrativa para exploração da Arena Multiuso da Copa 2014, precedida da execução de obras de construção da arena";2;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
122;7;"031/2011";2;3;30/11/2011;30/11/2011;19/11/2013;119;1;356;;6044291.81;;6044291.81;"Contratação de empresa de engenharia consultiva visando à execução dos serviços de apoio técnico-operacional e gerencial à Secretaria de Planejamento e Gestão-SEPLAG, compreendendo as atividades de gerenciamento e auditoria da execução físico-financeira da construção da Arena da Copa, no município de São Lourenço da Mata, no Estado de Pernambuco.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
9;8;"TC 0068-EG/2010/0057";2;3;06/08/2010;06/08/2010;26/04/2012;107;1;222;;22647982.25;;22647982.25;"Elaboração dos projeto de engenharia, nas etapas de serviços e estudos preliminares, projeto básico, projeto executivo e serviços complementares para construção do terceiro terminal de passageiros, do edifício garegem do sistema viário de acesso, do pátio de";594;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
24906;8;"CV0004-EG/2011/0001";3;7;16/05/2011;25/05/2011;24/12/2013;107;1;220;;417013058.87;0.00;417013058.87;"Execução de obras e serviços de engenharia de Terraplenagem do Corpo de Aterro do Pátio do TPS-3 (Setor 1A e Setor 1B) do Aeroporto Internacional de São Paulo/Guarulhos.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
